name,n,seed,knobs,runtime,exception,is_feasible,overlap,area_gap,hpwl_gap,violations_relative,cost
base_n21_s1,21,1,"{'n': 21, 'seed': 1}",0.0496370792388916,,True,,0.0,0.0,0.0,1.0
base_n21_s2,21,2,"{'n': 21, 'seed': 2}",0.05518841743469238,,True,,0.0,0.0,0.0,1.0
base_n21_s3,21,3,"{'n': 21, 'seed': 3}",0.04852294921875,,True,,0.0,0.0,0.0,1.0
base_n60_s1,60,1,"{'n': 60, 'seed': 1}",0.31674838066101074,,True,,0.0,0.0,0.03225806451612903,1.0666427820217474
base_n60_s2,60,2,"{'n': 60, 'seed': 2}",0.055400848388671875,,True,,0.0,0.0,0.03333333333333333,1.0689391057472464
base_n60_s3,60,3,"{'n': 60, 'seed': 3}",0.055715322494506836,,True,,0.0,0.0,0.0,1.0
base_n90_s1,90,1,"{'n': 90, 'seed': 1}",0.5792996883392334,,True,,0.0,0.0,0.03125,1.0644944589178593
base_n90_s2,90,2,"{'n': 90, 'seed': 2}",0.3605027198791504,,True,,0.0,0.0,0.02702702702702703,1.055541656918825
base_n90_s3,90,3,"{'n': 90, 'seed': 3}",0.36045241355895996,,True,,0.0,0.0,0.03225806451612903,1.0666427820217474
base_n105_s1,105,1,"{'n': 105, 'seed': 1}",0.54142165184021,,True,,0.0,0.0,0.02564102564102564,1.0526197441660043
base_n105_s2,105,2,"{'n': 105, 'seed': 2}",0.5735447406768799,,True,,0.0,0.0,0.0,1.0
base_n105_s3,105,3,"{'n': 105, 'seed': 3}",0.791245698928833,,True,,0.0,0.0,0.0,1.0
base_n120_s1,120,1,"{'n': 120, 'seed': 1}",1.1781806945800781,,True,,0.0,0.0,0.0,1.0
base_n120_s2,120,2,"{'n': 120, 'seed': 2}",1.2133104801177979,,True,,0.0,0.0,0.0,1.0
base_n120_s3,120,3,"{'n': 120, 'seed': 3}",1.1858367919921875,,True,,0.0,0.0,0.0,1.0
manyclusters_n21_s1,21,1,"{'n': 21, 'seed': 1, 'n_clusters': 7}",0.05417227745056152,,True,,0.0,0.0,0.0,1.0
manyclusters_n21_s2,21,2,"{'n': 21, 'seed': 2, 'n_clusters': 7}",0.049851417541503906,,True,,0.0,0.0,0.0,1.0
manyclusters_n60_s1,60,1,"{'n': 60, 'seed': 1, 'n_clusters': 20}",0.06429409980773926,,True,,0.0,0.0,0.0,1.0
manyclusters_n60_s2,60,2,"{'n': 60, 'seed': 2, 'n_clusters': 20}",0.06356692314147949,,True,,0.0,0.0,0.0,1.0
manyclusters_n90_s1,90,1,"{'n': 90, 'seed': 1, 'n_clusters': 30}",0.5487110614776611,,True,,0.0,0.0,0.013513513513513514,1.0273955698360904
manyclusters_n90_s2,90,2,"{'n': 90, 'seed': 2, 'n_clusters': 30}",0.3642246723175049,,True,,0.0,0.0,0.0,1.0
manyclusters_n105_s1,105,1,"{'n': 105, 'seed': 1, 'n_clusters': 35}",0.4994661808013916,,True,,0.0,0.0,0.01098901098901099,1.0222213178209634
manyclusters_n105_s2,105,2,"{'n': 105, 'seed': 2, 'n_clusters': 35}",0.5942189693450928,,True,,0.0,0.0,0.0,1.0
